shrid2,pc01_state_id,pc01_district_id
01-18-19-0002-02122300,18,19
01-18-19-0002-02122500,18,19
01-18-19-0002-02122700,18,19
01-18-19-0002-02122900,18,19
01-18-19-0002-02123000,18,19
01-18-19-0002-02123400,18,19
01-18-19-0002-02124200,18,19
01-18-19-0002-02124300,18,19
01-18-19-0002-02124400,18,19
01-18-19-0002-02124500,18,19
01-18-19-0002-02124600,18,19
01-18-19-0002-02124700,18,19
01-18-19-0002-02125000,18,19
01-18-19-0002-02125100,18,19
01-18-19-0002-02125200,18,19
01-18-19-0002-02125300,18,19
01-18-19-0002-02125400,18,19
01-18-19-0002-02125500,18,19
01-18-19-0002-02125600,18,19
01-18-19-0002-02125800,18,19
01-18-19-0002-02125900,18,19
01-18-19-0002-02126200,18,19
01-18-19-0002-02126300,18,19
01-18-19-0002-02126400,18,19
01-18-19-0002-02126500,18,19
01-18-19-0002-02126800,18,19
01-18-19-0002-02128000,18,19
01-18-19-0002-02128600,18,19
01-18-19-0002-02129600,18,19
01-18-19-0002-02129700,18,19
01-18-19-0002-02129800,18,19
01-18-19-0002-02129900,18,19
01-18-19-0002-02130200,18,19
01-18-19-0002-02130500,18,19
01-18-19-0002-02130600,18,19
01-18-19-0002-02130800,18,19
01-18-19-0002-02130900,18,19
01-18-19-0002-02131000,18,19
01-18-19-0002-02131100,18,19
01-18-19-0002-02131400,18,19
01-18-19-0002-02131600,18,19
01-18-19-0002-02131700,18,19
01-18-19-0002-02131800,18,19
01-18-19-0002-02132000,18,19
01-18-19-0002-02132300,18,19
01-18-19-0002-02132400,18,19
01-18-19-0002-02132600,18,19
01-18-19-0002-02132700,18,19
01-18-19-0002-02132800,18,19
01-18-19-0002-02132900,18,19
01-18-19-0002-02136900,18,19
01-18-19-0002-02137000,18,19
01-18-19-0002-02137800,18,19
01-18-19-0002-02138100,18,19
01-18-19-0002-02138200,18,19
01-18-19-0002-02139100,18,19
01-18-19-0002-02139800,18,19
01-18-19-0002-02140100,18,19
01-18-19-0002-02140300,18,19
01-18-19-0002-02142400,18,19
01-18-19-0002-02143200,18,19
01-18-19-0002-02143900,18,19
01-18-19-0002-02144400,18,19
01-18-19-0002-02146700,18,19
01-18-19-0002-02147000,18,19
01-18-19-0002-02148200,18,19
01-18-19-0002-02148400,18,19
01-18-19-0002-02148600,18,19
01-18-19-0002-02149000,18,19
01-18-19-0002-02149100,18,19
01-18-19-0002-02149500,18,19
01-18-19-0002-02149600,18,19
01-18-19-0002-02149700,18,19
01-18-19-0002-02149900,18,19
01-18-19-0002-02150200,18,19
01-18-19-0002-02150300,18,19
01-18-19-0002-02150500,18,19
01-18-19-0002-02150600,18,19
01-18-19-0002-02151400,18,19
01-18-19-0002-02151500,18,19
01-18-19-0002-02151600,18,19
01-18-19-0002-02151900,18,19
01-18-19-0002-02152500,18,19
01-18-19-0002-02153100,18,19
01-18-19-0002-02153400,18,19
01-18-19-0002-02153600,18,19
01-18-19-0002-02153700,18,19
01-18-19-0002-02153800,18,19
01-18-19-0002-02154000,18,19
01-18-19-0002-02154100,18,19
01-18-19-0002-02154300,18,19
01-18-19-0002-02154500,18,19
01-18-19-0002-02154700,18,19
01-18-19-0002-02154800,18,19
01-18-19-0002-02155800,18,19
01-18-19-0002-02157000,18,19
01-18-19-0002-02157100,18,19
01-18-19-0002-02157400,18,19
01-18-19-0002-02158400,18,19
01-18-19-0002-02158900,18,19
01-18-19-0002-02159900,18,19
01-18-19-0002-02160300,18,19
01-18-19-0002-02160400,18,19
01-18-19-0002-02161400,18,19
01-18-19-0002-02161700,18,19
01-18-19-0002-02162000,18,19
01-18-19-0002-02162200,18,19
01-18-19-0002-02162800,18,19
01-18-19-0002-02163000,18,19
01-18-19-0002-02164300,18,19
01-18-19-0002-02164600,18,19
01-18-19-0002-02164700,18,19
01-18-19-0002-02165400,18,19
01-18-19-0002-02167100,18,19
01-18-19-0002-02167500,18,19
01-18-19-0002-02167700,18,19
01-18-19-0002-02167800,18,19
01-18-19-0002-02168000,18,19
01-18-19-0002-02169100,18,19
01-18-19-0002-02169200,18,19
01-18-19-0002-02169700,18,19
01-18-19-0002-02169900,18,19
01-18-19-0002-02170000,18,19
01-18-19-0002-02170200,18,19
01-18-19-0002-02170300,18,19
01-18-19-0002-02170400,18,19
01-18-19-0002-02170500,18,19
01-18-19-0002-02170600,18,19
01-18-19-0002-02170700,18,19
01-18-19-0002-02170800,18,19
01-18-19-0002-02170900,18,19
01-18-19-0002-02171200,18,19
01-18-19-0002-02171400,18,19
01-18-19-0002-02171600,18,19
01-18-19-0002-02171700,18,19
01-18-19-0002-02171800,18,19
01-18-19-0002-02172100,18,19
01-18-19-0002-02172600,18,19
01-18-19-0002-02173000,18,19
01-18-19-0002-02173300,18,19
01-18-19-0002-02173600,18,19
01-18-19-0002-02173700,18,19
01-18-19-0002-02173800,18,19
01-18-19-0002-02173900,18,19
01-18-19-0002-02174800,18,19
01-18-19-0002-02174900,18,19
01-18-19-0002-02175100,18,19
01-18-19-0002-02175600,18,19
01-18-19-0002-02176200,18,19
01-18-19-0002-02176300,18,19
01-18-19-0002-02176500,18,19
01-18-19-0002-02176700,18,19
01-18-19-0002-02176800,18,19
01-18-19-0002-02176900,18,19
01-18-19-0002-02177000,18,19
01-18-19-0002-02177100,18,19
01-18-19-0002-02177200,18,19
01-18-19-0002-02177300,18,19
01-18-19-0002-02178000,18,19
01-18-19-0002-02178400,18,19
01-18-19-0002-02178600,18,19
01-18-19-0002-02178700,18,19
01-18-19-0002-02178900,18,19
01-18-19-0002-02179000,18,19
01-18-19-0002-02179100,18,19
01-18-19-0002-02179300,18,19
01-18-19-0002-02179400,18,19
01-18-19-0002-02179800,18,19
01-18-19-0002-02180200,18,19
01-18-19-0002-02180800,18,19
01-18-19-0002-02181300,18,19
01-18-19-0003-02182200,18,19
01-18-19-0003-02182300,18,19
01-18-19-0003-02182400,18,19
01-18-19-0003-02182800,18,19
01-18-19-0003-02182900,18,19
01-18-19-0003-02183000,18,19
01-18-19-0003-02183100,18,19
01-18-19-0003-02183200,18,19
01-18-19-0003-02184700,18,19
01-18-19-0003-02184800,18,19
01-18-19-0003-02185100,18,19
01-18-19-0003-02185200,18,19
01-18-19-0003-02185300,18,19
01-18-19-0003-02185500,18,19
01-18-19-0003-02185900,18,19
01-18-19-0003-02186600,18,19
01-18-19-0003-02186700,18,19
01-18-19-0003-02187700,18,19
01-18-19-0003-02188300,18,19
01-18-19-0003-02188800,18,19
01-18-19-0003-02189600,18,19
01-18-19-0003-02189700,18,19
